model,checkpoint,dataset,samples,normalized_wer,normalized_cer,prediction_sha256
A5,step-050,mediaspeech_clean,493,0.14038501633192021,0.08170344179385042,ee760a532bd70f7fe352232e53c68ec94e23f429bbb90e3a42b63582c412edfb
A6,step-050,mediaspeech_clean,493,0.13927305580651886,0.08028241507407241,a707ee71382b28d2c35c7ad5a8cc3421c7108fd4a389996584c7f86d80bd4c5a
A5,step-050,mediaspeech_phone,493,0.1607477934533324,0.0981627355323815,2c5de6518cfb46c5619b2fdd6e1c220f7b2ffb6832868133b9240b05881aff2b
A6,step-050,mediaspeech_phone,493,0.1581068872055042,0.09601441167255964,e4603a3f49cc037d3b961a7a120236a016bcf3082ad65bf5d7a67e14a120ccc2
A5,step-050,mediaspeech_g711,493,0.14858572520675517,0.08884214295305017,98b7de1655684c5ab1e6deec4ab32a1a824772afe2893837f83e0c68490b96bf
A6,step-050,mediaspeech_g711,493,0.14469386336785045,0.085071387011592,520a6d97c9b34fc681283533938423e9cc7832d82e72a543f088c7cc8e1eeea4
A5,step-050,cv_scripted,9650,0.22514091437774,0.10087819461457014,e9c473eca03980d5ec40747666947a507a4a89259cfb1d9a8c6402bd79378008
A6,step-050,cv_scripted,9650,0.224729354925293,0.10000622833059979,bd4e162a55a2da19db417cb698177e52e1380e4f3b5a0f67951885477301c6b7
A5,step-050,fleurs,743,0.07020112506742698,0.021243893720957942,33ee583bf9e8e26a895df2fa2aa3db04436201ae629d4c97d757670a56db8133
A6,step-050,fleurs,743,0.07035524389304154,0.021124746812820207,728dfe4b55f2acbb14221334f3b52992134ab2c92d8decab0f42185bd4f37c9d
A5,step-050,cv_spontaneous,11,0.2111801242236025,0.15711252653927812,85b13713f532c28748a253bee0c292c1ecfe13990630daa6e62e83cbe71e8c5a
A6,step-050,cv_spontaneous,11,0.2111801242236025,0.15711252653927812,3ad48f3d51dfe7d8c0704e3955bf9e2b4b849c4eaf710abbb1e176c22eb0e83b
A5,step-050,tsc_exploratory,3484,0.16549596872709504,0.07178467802696334,9613dd3cba0c717e6e4a127afe24e2e4a94d06f272b68de51b0ee284e9919274
