audio_path,audio_status,channel_energy_imbalance,channels,clipping_ratio,dc_offset,duration,format,leading_silence_seconds,manifest_duration_seconds,near_silence_ratio,peak,rms,sample_id,samplerate,silent_channel,subtype,trailing_silence_seconds,train_or_validation
data\materialized\cv_spontaneous_v2c\audio\spontaneous-speech-tr-78549.mp3,ok,1.0,1,0.0,-7.408628296558104e-06,31.9035,MP3,2.54434375,31.896,0.613910247366441,0.8856945037841797,0.04812270309910769,cvsp-78549,32000,False,MPEG_LAYER_III,1.3260625,train
data\materialized\tsc_v2a\audio\tsc-train-145839.wav,ok,1.0,1,0.0,-2.4028132370652882e-05,6.2271875,WAV,0.0,6.2271875,0.5607366889145381,0.140838623046875,0.01354465687908763,tsc-train-145839,16000,False,PCM_16,2.99875,train
data\materialized\tsc_v2a\audio\tsc-train-146092.wav,ok,1.0,1,0.0,1.4659881591796874e-06,5.0,WAV,0.0,5.0,0.491425,0.206817626953125,0.027581403995756194,tsc-train-146092,16000,False,PCM_16,2.3686875,train
data\materialized\tsc_v2a\audio\tsc-train-146868.wav,ok,1.0,1,0.0,-1.712017112161314e-05,7.22,WAV,6.25e-05,7.22,0.57663608033241,0.1929931640625,0.014920742302451485,tsc-train-146868,16000,False,PCM_16,2.080625,train
data\materialized\tsc_v2a\audio\tsc-train-164395.wav,ok,1.0,1,0.0,-0.00018828304940173162,8.87,WAV,0.0,8.87,0.5030369222096956,0.793487548828125,0.0891040195156402,tsc-train-164395,16000,False,PCM_16,2.558875,train
data\materialized\tsc_v2a\audio\tsc-train-188441.wav,ok,1.0,1,0.0,-2.8034904495582503e-05,4.89,WAV,0.0,4.89,0.6980189161554192,0.26251220703125,0.035875324998366064,tsc-train-188441,16000,False,PCM_16,3.2918125,train
data\materialized\tsc_v2a\audio\tsc-train-193413.wav,ok,1.0,1,0.0,-3.9160636163526965e-05,4.96,WAV,0.0,4.96,0.5169984879032258,0.305389404296875,0.03684439855955736,tsc-train-193413,16000,False,PCM_16,2.1256875,train
data\materialized\tsc_v2a\audio\tsc-train-201293.wav,ok,1.0,1,0.0,2.9335688295322735e-05,2.29,WAV,0.8553125,2.29,0.9997270742358079,0.0023193359375,0.00013836989597283095,tsc-train-201293,16000,False,PCM_16,1.4273125,train
data\materialized\tsc_v2a\audio\tsc-train-70080.wav,ok,1.0,1,0.0,-9.715239953173905e-06,6.39,WAV,6.25e-05,6.39,0.6312010954616588,0.202362060546875,0.026854783106873226,tsc-train-70080,16000,False,PCM_16,3.7525,train
data/materialized/tsc_v2a/audio/tsc-train-146865.wav,ok,1.0,1,0.0,-1.8063499813988096e-05,11.55,WAV,0.0,11.55,0.5486417748917749,0.225921630859375,0.01923156367251491,tsc-train-146865,16000,False,PCM_16,2.157875,validation
data/materialized/tsc_v2a/audio/tsc-train-184607.wav,ok,1.0,1,0.0,-9.533299340142144e-06,7.2,WAV,2.031125,7.2,0.5395399305555556,0.603729248046875,0.07467524539535181,tsc-train-184607,16000,False,PCM_16,0.0,validation
